"epoch","base_flowers102 - val/f1_macro","base_flowers102 - val/f1_macro__MIN","base_flowers102 - val/f1_macro__MAX","base_flowers102 - _step","base_flowers102 - _step__MIN","base_flowers102 - _step__MAX"
"58","0.35197943449020386","0.35197943449020386","0.35197943449020386","1060","1060","1060"
"59","0.33978453278541565","0.33978453278541565","0.33978453278541565","1078","1078","1078"
"60","0.35892361402511597","0.35892361402511597","0.35892361402511597","1096","1096","1096"
"61","0.34934163093566895","0.34934163093566895","0.34934163093566895","1114","1114","1114"
"62","0.34475091099739075","0.34475091099739075","0.34475091099739075","1132","1132","1132"
"63","0.3534744083881378","0.3534744083881378","0.3534744083881378","1150","1150","1150"
"64","0.35345932841300964","0.35345932841300964","0.35345932841300964","1168","1168","1168"
"65","0.35925033688545227","0.35925033688545227","0.35925033688545227","1186","1186","1186"
"66","0.3506670594215393","0.3506670594215393","0.3506670594215393","1204","1204","1204"
"67","0.34967249631881714","0.34967249631881714","0.34967249631881714","1222","1222","1222"
"68","0.35004889965057373","0.35004889965057373","0.35004889965057373","1240","1240","1240"
"69","0.3457346558570862","0.3457346558570862","0.3457346558570862","1258","1258","1258"
"70","0.35405999422073364","0.35405999422073364","0.35405999422073364","1276","1276","1276"
"71","0.3721448481082916","0.3721448481082916","0.3721448481082916","1294","1294","1294"
"72","0.3732864260673523","0.3732864260673523","0.3732864260673523","1312","1312","1312"
"73","0.36467698216438293","0.36467698216438293","0.36467698216438293","1330","1330","1330"
"74","0.3693446218967438","0.3693446218967438","0.3693446218967438","1348","1348","1348"
"75","0.361923485994339","0.361923485994339","0.361923485994339","1366","1366","1366"
"76","0.3735063076019287","0.3735063076019287","0.3735063076019287","1384","1384","1384"
"77","0.3691321015357971","0.3691321015357971","0.3691321015357971","1402","1402","1402"
"78","0.36024701595306396","0.36024701595306396","0.36024701595306396","1420","1420","1420"
"79","0.37875401973724365","0.37875401973724365","0.37875401973724365","1438","1438","1438"
"80","0.3639598488807678","0.3639598488807678","0.3639598488807678","1456","1456","1456"
